Field=#~Integer~#~50|Field=Comment~String~Comment~69|Field=Description~String~Description~99|Field=Designator~String~Designator~97|Field=Quantity~Integer~Quantity~84|Field=Manufacturer 1~String~Manufacturer 1~119|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~186|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~164|Field=Supplier 1~String~Supplier 1~92|Field=Supplier Part Number 1~String~Supplier Part Number 1~159|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~144|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~139|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~AIRZAI_LID_BD_REVB.PrjPcb|ReportField=ProjectFullPath~C:\Users\kashif\OneDrive - Airzai\Airzai\Design Data\Airzai Schematics Design\LID Board\Latest Design\AIRZAI_LID_BD_REVB (28-1-2019 2-17-03 AM)\AIRZAI_LID_BD_REVB.PrjPcb|ReportField=Title~Bill of Materials For Project [AIRZAI_LID_BD_REVB.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~5:26:16 PM|ReportField=ReportDate~2/27/2019|ReportField=ReportDateTime~2/27/2019 5:26:16 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~77|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/27/2019|ReportField=CurrentTime~5:24:23 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\kashif\OneDrive - Airzai\Airzai\Design Data\Airzai Schematics Design\LID Board\Latest Design\AIRZAI_LID_BD_REVB (28-1-2019 2-17-03 AM)\AIRZAI_LID_BD_REVB Sheet1.SchDoc|ReportField=DocumentName~AIRZAI_LID_BD_REVB Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/23/2019|ReportField=Organization~|ReportField=ProjectName~AIRZAI_LID_BD_REVB.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~AIRZAI_LID_BD_REVB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\kashif\OneDrive - Airzai\Airzai\Design Data\Airzai Schematics Design\LID Board\Latest Design\AIRZAI_LID_BD_REVB (28-1-2019 2-17-03 AM)\AIRZAI_LID_BD_REVB.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
23|CLX6A-FKB-CK1P1G1BB7D3D3||D2R|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}CLX6A-FKB-CK1P1G1BB7D3D3CT-ND{URL.TIP}Supplier||
24|STPS2H100A|Power Schottky Rectifier, 2 A, 100 V, 2-Pin SMD (SMA), RoHS, Tape and Reel|D3|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}497-3758-6-ND{URL.TIP}Supplier||
25|CLX6A-FKB-CK1P1G1BB7D3D3||D3L|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}CLX6A-FKB-CK1P1G1BB7D3D3CT-ND{URL.TIP}Supplier||
26|CLX6A-FKB-CK1P1G1BB7D3D3||D3R|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}CLX6A-FKB-CK1P1G1BB7D3D3CT-ND{URL.TIP}Supplier||
27|=Value||J1|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}WM4459TR-ND{URL.TIP}Supplier||
28|=Value||J2|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}WM4459TR-ND{URL.TIP}Supplier||
29|52892-1233|0.5 mm Pitch Easy-On(TM) Type FPC Connector, 2.0 mm Mated Height, Right Angle, ZIF, SMT, Bottom Contact, 12 Circuits, -40 to 85 degC, ELV and RoHS Compliant, Tape and Reel|J3|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}WM11084TR-ND{URL.TIP}Supplier||
30|XF2M-2015-1A-R100|XF2M-2015-1A-R100|J4|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digikey|{URL}{URL.TEXT}Z5253-ND{URL.TIP}Supplier||
31|0R|Resistor, ±1%, 0.063W|R14|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}P0.0JTR-ND{URL.TIP}Supplier||
32|120K|120K 0.063W 1% 0402 (1005 Metric)  SMD|R15|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}311-120KJRTR-ND{URL.TIP}Supplier||
33|RMCF0402JT4K70|Chip Resistor, 4.7 KOhm, +/- 5%, 0.063 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel|R16|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer||Digi-Key|{URL}{URL.TEXT}RMCF0402JT4K70TR-ND{URL.TIP}Supplier||
